"7842833","544518","Правосудие","Кафедра ""Правосудие""","2 уровень","4"
"8097504","355953962","ИРЦ","Информационно-ресурсный центр ""Библиотека иностранной литературы""","3 уровень","5"
"8643239","544050","Учебный корпус № 9","Учебный корпус № 9","3 уровень","5"
"10535956","142387146","СФ ПГУ","Сердобский филиал ПГУ","1 уровень","3"
"11107979","78859500","ООТ","Отдел охраны труда","2 уровень","3"
"13309610","142387146","НлФ ПГУ","Нижнеломовский филиал ПГУ","1 уровень","3"
"13312807","352682235","Стоматология","Кафедра ""Стоматология""","3 уровень","5"
"14058286","359919263","ОРЗС","Отдел по ремонту зданий и сооружений","2 уровень","4"
"14511001","31433114","Студенческий город","Студенческий городок","1 уровень","3"
"15778395","544050","Учебный корпус № 6","Учебный корпус № 6","3 уровень","5"
"18171921","78859500","ОЭТСО","Отдел  эксплуатации технических средств охраны","2 уровень","3"
"21822530","248457758","ОИД","Отдел инновационной деятельности","2 уровень","4"
"23398558","362749473","ИВсЦ","Информационно-выставочный центр","1 уровень","3"
"26750736","31652849","ЦСОО","Центр студенческих общественных объединений","2 уровень","4"
"26765259","31652849","ОСП и ПР","Отдел социальной поддержки и профилактической работы","2 уровень","4"
"27033926","31391769","ФЭУ","Финансово-экономическое управление","1 уровень","2"
"27505334","352758022","МРЦПК","Межотраслевой региональный центр повышения квалификации и переподготовки кадров","2 уровень","4"
"31368208","31391769","Ректорат","Ректорат","1 уровень","2"
"31369600","544050","Спортивный корпус","Спортивный корпус","3 уровень","5"
"31370934","248457758","НИО","Научно-исследовательский отдел","2 уровень","4"
"31371398","352685446","ЦПС ""ПП""","Центр по подготовке специалистов в области транспорта и безопасности дорожного движения ""Политехник плюс""","2 уровень","4"
"31372558","1538274","Кафедра РЯкИ","Кафедра ""Русский язык как иностранный""","2 уровень","4"
"31391769","0","ПГУ","ПГУ",,"1"
"31402487","31431972","УВЦ","Учебный военный центр","2 уровень","4"
"31429660","31391769","Факультеты (институт","Факультеты (институты)",,"2"
"31429808","352685446","ФВТ","Факультет вычислительной техники","2 уровень","4"
"31431972","31429660","ИВО","Институт военного обучения","1 уровень","3"
"31433114","31391769","В и СР","В и СР",,"2"
"31631509","544698","ОМиР","Отдел маркетинга и рекламы","2 уровень","4"
"31631583","544698","ОДП","Отдел допечатной подготовки","2 уровень","4"
"31652849","31433114","Управление ВиСР","Управление воспитательной и социальной работы","1 уровень","3"
"31655495","544032","ОКТ","Отдел компьютерных технологий","2 уровень","4"
"31708290","544530","ОР с ППС","Отдел по работе с ППС","2 уровень","3"
"32224308","31376328","ОРГ и МЗ","Отдел по работе с государственным и муниципальным заказом","3 уровень","6"
"32224425","31376328","ОПО","Отдел программного обеспечения","3 уровень","6"
"32224515","499534953","ОСА и ЭИ","Отдел системного администрирования и электронных изданий","3 уровень","6"
"32224605","499534953","ОП и ПКГ и МС","Отдел переподготовки и повышения квалификации государственных и муниципальных служащих","3 уровень","6"
"32225797","352685446","ЦСТ","Центр современных технологий","2 уровень","4"
"32230804","544830","ООУ","Отдел оперативного управления","2 уровень","4"
"32230879","544830","ОП","Отдел планирования","2 уровень","4"
"32231005","27033926","Мат. отдел","Материальный отдел","2 уровень","3"
"32231080","27033926","Стипендиальный отд","Стипендиальный отдел","2 уровень","3"
"32231155","27033926","Общий отдел","Общий отдел","2 уровень","3"
"32231230","27033926","Расчетный отдел","Расчетный отдел","2 уровень","3"
"32231305","27033926","Отдел тр. и з-пл.","Отдел труда и заработной платы","2 уровень","3"
"32231380","27033926","Плановый отдел","Плановый отдел","2 уровень","3"
"32231455","31391769","Отдел логистики","Отдел логистики","1 уровень","2"
"32231530","27033926","ОПО ФЭУ","Отдел программного обеспечения ФЭУ","2 уровень","3"
"32231622","544530","ОР со С","Отдел по работе со студентами","2 уровень","3"
"32232452","31391769","ПУ","Правовое управление","1 уровень","2"
"32232531","32232452","Контрактная служба","Контрактная служба","2 уровень","3"
"32238317","544050","Центральная столовая","Центральная столовая","3 уровень","5"
"34053902","31433114","СКЦ","Спортивно-культурный центр ""Темп""","1 уровень","3"
